"time","co2","trialnum"
1974,325.28661513606426,2
1975,326.68832158882515,2
1976,328.04963455596027,2
1977,329.4525385446119,2
1978,330.9380923121783,2
1979,332.4736890103581,2
1980,334.03742258429844,2
1981,335.5771479131959,2
1982,337.05701949998013,2
1983,338.49310254996385,2
1984,339.94880313849205,2
1985,341.46659922075236,2
1986,343.024240654932,2
1987,344.616484014718,2
1988,346.25276356581827,2
1989,347.9434330216926,2
1990,349.67589897964194,2
1991,351.3842419965695,2
1992,353.09552148619895,2
1993,354.8283995996733,2
1994,356.5170243986985,2
1995,358.1788608995682,2
1996,359.87206266336267,2
1997,361.61899193460977,2
1998,363.55713155425315,2
1999,365.5005894915656,2
2000,367.2484507511814,2
2001,368.99620647519544,2
2002,370.7390784286357,2
2003,372.5017912154871,2
2004,374.3538901116305,2
2005,376.34637734891066,2
2006,378.4917637184941,2
2007,380.7368113215481,2
2008,383.06382287244105,2
2009,385.3448081461138,2
2010,387.53591599177867,2
2011,389.82316646015414,2
2012,392.28162491657594,2
2013,394.8234538166497,2
2014,397.4280672391285,2
2015,400.1080144727558,2
2016,402.78365189126805,2
2017,405.42709283465643,2
2018,408.09440658988046,2
2019,410.7866861959397,2
2020,413.50469586373333,2
2021,416.248491967424,2
2022,419.0300773528259,2
2023,421.85655651975003,2
2024,424.71845198071463,2
2025,427.6077040952255,2
2026,430.51725614682823,2
2027,433.44076637976843,2
2028,436.37267818722404,2
2029,439.30829681874263,2
2030,442.24358920250523,2
2031,445.1751089134402,2
2032,448.07993218170196,2
2033,450.9370373240066,2
2034,453.74689904562126,2
2035,456.509741737461,2
2036,459.22557390423094,2
2037,461.91805522631824,2
2038,464.60928347477034,2
2039,467.29650965730923,2
2040,469.9779420512283,2
2041,472.6525715273839,2
2042,475.3165997451108,2
2043,477.96717101962946,2
2044,480.60575907182863,2
2045,483.2343151012847,2
2046,485.85526049445167,2
2047,488.46160972818626,2
2048,491.04720976116823,2
2049,493.6163841789343,2
2050,496.17342738731514,2
2051,498.7227036940514,2
2052,501.28811858354817,2
2053,503.88895696025065,2
2054,506.5208266484052,2
2055,509.1800783585361,2
2056,511.86370067642116,2
2057,514.544268403081,2
2058,517.1957579482616,2
2059,519.8180768805653,2
2060,522.4108849157642,2
2061,524.9736509668113,2
2062,527.5049749070076,2
2063,530.0034402739343,2
2064,532.4683954433651,2
2065,534.8992443090787,2
2066,537.2954305023045,2
2067,539.6561343002029,2
2068,541.9806208227942,2
2069,544.268455446333,2
2070,546.5190650170102,2
2071,548.7317681953049,2
2072,550.9060241279044,2
2073,553.0413772454958,2
2074,555.1373578595258,2
2075,557.1935976596192,2
2076,559.2097915701183,2
2077,561.1858894937529,2
2078,563.1219213182244,2
2079,565.0178422810448,2
2080,566.8736998866794,2
2081,568.6895638355709,2
2082,570.4656407149345,2
2083,572.2021116991245,2
2084,573.898999010851,2
2085,575.5563778024122,2
2086,577.1743991038174,2
2087,578.7569603343821,2
2088,580.3079764761853,2
2089,581.8277358888596,2
2090,583.3166634567061,2
